540.0,,,,,,13.0,48.0,1.0,,,,,,,,,,,,,,,,,,,
550.0,,,,,,12.0,44.0,,,,,,,,,,,,,,,,,,,,
560.0,,,,,2.0,9.0,37.0,1.0,,,,,,,,,,,,,,,,,,,
570.0,,,,,,10.0,36.0,,,,,,,,,,,,,,,,,,,,
580.0,,,,,,7.0,31.0,1.0,,,,,,,,,,,,,,,,,,,
590.0,,,,,,10.0,32.0,,,,,,,,,,,,,,,,,,,,
600.0,,,,,,8.0,46.0,,,,,,,,,,,,,,,,,,,,
610.0,,,,,,8.0,31.0,,,,,,,,,,,,,,,,,,,,
620.0,,,,,1.0,11.0,38.0,,,,,,,,,,,,,,,,,,,,
630.0,,,,,,6.0,18.0,,,,,,,,,,,,,,,,,,,,
640.0,,,,,,11.0,19.0,,,,,,,,,,,,,,,,,,,,
650.0,,,,,1.0,8.0,23.0,,,,,,,,,,,,,,,,,,,,
660.0,,,,,,8.0,37.0,,,1.0,,,,,,,,,,,,,,,,,
670.0,,,,,,16.0,26.0,,,,,,,,,,,,,,,,,,,,
680.0,,,,,,7.0,33.0,,,,,,,,,,,,,,,,,,,,
690.0,,,,,,4.0,25.0,1.0,,,,,,,,,,,,,,,,,,,
700.0,,,,1.0,1.0,7.0,26.0,,,,,,,,,,,,,,,,,,,,
710.0,,,,,,4.0,20.0,,,,,,,,,,,,,,,,,,,,
720.0,,,,,,5.0,25.0,1.0,,,,,,,,,,,,,,,,,,,
730.0,,,,,,7.0,18.0,,,,,,,,,,,,,,,,,,,,
740.0,,,,,,6.0,14.0,,,,,,,,,,,,,,,,,,,,
750.0,,,,,,6.0,20.0,,,,,,,,,,,,,,,,,,,,
760.0,,,,,1.0,5.0,20.0,,,,,,,,,,,,,,,,,,,,
770.0,,,,,,2.0,27.0,,,,,,,,,,,,,,,,,,,,
780.0,,,,,,2.0,17.0,,,,,,,,,,,,,,,,,,,,
790.0,,,,,,7.0,16.0,,,,,,,,,,,,,,,,,,,,
800.0,,,,,,5.0,15.0,,,,,,,,,,,,,,,,,,,,
810.0,,,,,,3.0,14.0,,,,,,,,,,,,,,,,,,,,
820.0,,,,,,5.0,14.0,,,,,,,,,,,,,,,,,,,,
830.0,,,,,,8.0,10.0,,,,,,,,,,,,,,,,,,,,
840.0,,,,,,5.0,13.0,,,,,,,,,,,,,,,,,,,,
850.0,,,,,,3.0,19.0,,,,,,,,,,,,,,,,,,,,
860.0,,,,,,3.0,16.0,,,,,,,,,,,,,,,,,,,,
870.0,,,,,,8.0,18.0,,,,,,,,,,,,,,,,,,,,
880.0,,,,,,4.0,19.0,1.0,,,,,,,,,,,,,,,,,,,
890.0,,,,,,4.0,10.0,1.0,,,,,,,,,,,,,,,,,,,
900.0,,,,,,4.0,9.0,1.0,,,,,,,,,,,,,,,,,,,
910.0,,,,,,5.0,10.0,,,,,,,,,,,,,,,,,,,,
920.0,,,,,,6.0,12.0,,,,,,,,,,,,,,,,,,,,
930.0,,,,,,3.0,10.0,,,,,,,,,,,,,,,,,,,,
940.0,,,,,,7.0,12.0,,,,,,,,,,,,,,,,,,,,
950.0,,,,,,2.0,11.0,,,,,,,,,,,,,,,,,,,,
960.0,,,,,,4.0,13.0,,,,,,,,,,,,,,,,,,,,
970.0,,,,,,2.0,15.0,,,,,,,,,,,,,,,,,,,,
980.0,,,,,,5.0,19.0,,,,,,,,,,,,,,,,,,,,
990.0,,,,,,6.0,11.0,,,,,,,,,,,,,,,,,,,,
1000.0,,,,,,1.0,9.0,,,,,,,,,,,,,,,,,,,,
1010.0,,,,,,4.0,12.0,,,,,,,,,,,,,,,,,,,,
